Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
24-05-2020,54441,3867,131868,131757.0,111.0,73560,2.932477932477932,41.28446628446628,55.78305578305578,6767
25-05-2020,57721,4021,138845,138722.0,123.0,77103,2.8960351471064856,41.57225683315928,55.53170801973424,6977
26-05-2020,60491,4167,145380,145259.0,121.0,80722,2.866281469252992,41.60888705461549,55.52483147613152,6535
27-05-2020,64426,4337,151767,151653.0,114.0,83004,2.857669980957652,42.45059861498218,54.69173140406017,6387
28-05-2020,67692,4531,158333,158220.0,113.0,86110,2.861690235137337,42.752932111436024,54.38537765342664,6566
29-05-2020,71106,4706,165799,165688.0,111.0,89987,2.8383765885198344,42.8868690402234,54.27475437125676,7466
30-05-2020,82370,4971,173763,173648.0,115.0,86422,2.8607931492895493,47.40364749687793,49.73555935383252,7964
31-05-2020,86984,5164,182143,182031.0,112.0,89995,2.8351350312666423,47.75588411303207,49.40898085570129,8380
01-06-2020,91819,5394,190535,190424.0,111.0,93322,2.8309759361797044,48.19009630776498,48.97892775605532,8392
02-06-2020,95527,5598,198706,198581.0,125.0,97581,2.8172274616770507,48.07454228860729,49.10823024971566,8171
03-06-2020,100303,5815,207615,207499.0,116.0,101497,2.800857356164054,48.312019844423574,48.887122799412374,8909
04-06-2020,104107,6075,216919,216805.0,114.0,106737,2.8005845499933155,47.99349065780314,49.20592479220354,9304
05-06-2020,109462,6348,226770,226659.0,111.0,110960,2.7993120783172376,48.27005335802796,48.930634563654806,9851
06-06-2020,114073,6642,236657,236536.0,121.0,115942,2.8065935087489486,48.201827961987185,48.991578529263876,9887
07-06-2020,119293,6929,246628,246511.0,117.0,120406,2.8094944612939323,48.36960929010494,48.82089624860113,9971
08-06-2020,124095,7135,256611,256491.0,120.0,125381,2.7804731675571195,48.35918959046962,48.86033724197326,9983
09-06-2020,129215,7466,266598,266484.0,114.0,129917,2.8004711213137385,48.46810553717582,48.731423341510435,9987
