Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
17-07-2020,8:00 AM,107416,2236,156369,156360.0,9.0,46717,1.4299509493569698,68.69392270846524,29.8761263421778
18-07-2020,8:00 AM,110807,2315,160907,160898.0,9.0,47785,1.4387192601937766,68.86400218759906,29.697278552207173
19-07-2020,8:00 AM,113856,2403,165714,165705.0,9.0,49455,1.450088707049495,68.70632535573337,29.84358593721713
20-07-2020,8:00 AM,117915,2481,170693,170684.0,9.0,50297,1.4534866690491115,69.0801614594623,29.466351871488577
21-07-2020,8:00 AM,121776,2551,175678,175669.0,9.0,51351,1.4520884800601102,69.3177290269698,29.23018249297009
22-07-2020,8:00 AM,126670,2626,180643,180634.0,9.0,51347,1.4536959638624247,70.12173181357706,28.424572222560517
23-07-2020,8:00 AM,131583,3144,186492,186483.0,9.0,51765,1.6858632005662442,70.55691396950003,27.757222829933724
24-07-2020,8:00 AM,136793,3232,192964,192955.0,9.0,52939,1.6749238199871481,70.89042515702411,27.434651022988742
25-07-2020,8:00 AM,143297,3320,199749,199740.0,9.0,53132,1.6620859178268728,71.73853185748114,26.599382224691986
26-07-2020,8:00 AM,151055,3409,206737,206728.0,9.0,52273,1.6489549524274802,73.06626293309857,25.28478211447395
27-07-2020,8:00 AM,156526,3494,213723,213714.0,9.0,53703,1.634826387426716,73.23778910084549,25.127384511727797
28-07-2020,8:00 AM,162249,3571,220716,220707.0,9.0,54896,1.6179162362492976,73.51030283259936,24.871780931151342
29-07-2020,8:00 AM,166956,3659,227688,227679.0,9.0,57073,1.6070236463933103,73.32665753135869,25.06631882224799
30-07-2020,8:00 AM,172883,3741,234114,234105.0,9.0,57490,1.5979394653886567,73.84564784677549,24.55641268783584
31-07-2020,8:00 AM,178178,3838,239978,239969.0,9.0,57962,1.5993132703831185,74.24763936694197,24.15304736267491
01-08-2020,8:00 AM,183956,3935,245859,245850.0,9.0,57968,1.6005108619167898,74.82174742433672,23.577741713746498
02-08-2020,8:00 AM,190966,4034,251738,251729.0,9.0,56738,1.6024597001644567,75.85902803708618,22.538512262749364
03-08-2020,8:00 AM,196483,4132,257613,257604.0,9.0,56998,1.6039563220800195,76.27060746157997,22.125436216340013
04-08-2020,8:00 AM,202283,4241,263222,263213.0,9.0,56698,1.6111875147214139,76.84881962753873,21.539992857739854
05-08-2020,8:00 AM,208784,4349,268285,268276.0,9.0,55152,1.6210373297053506,77.8217194401476,20.557243230147044
06-08-2020,8:00 AM,214815,4461,273460,273451.0,9.0,54184,1.6313171944708549,78.55445037665471,19.814232428874423
07-08-2020,8:00 AM,221087,4571,279144,279135.0,9.0,53486,1.6375060900467142,79.20177399478405,19.16071991516923
08-08-2020,8:00 AM,227575,4690,285024,285015.0,9.0,52759,1.6454754687324578,79.8441534747951,18.510371056472437
09-08-2020,8:00 AM,232618,4808,290907,290898.0,9.0,53481,1.652761879226007,79.96301223415043,18.384225886623557
10-08-2020,8:00 AM,238638,4927,296901,296892.0,9.0,53336,1.6594757174950574,80.37628704517668,17.964237237328266
11-08-2020,8:00 AM,244675,5041,302815,302806.0,9.0,53099,1.6647127784290738,80.80015851262323,17.53512870894771
