Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
18-05-2020,8:00 AM,509,37,1147,1147.0,0.0,601,3.225806451612903,44.376634699215344,52.39755884917175,1147
19-05-2020,8:00 AM,530,37,1246,1246.0,0.0,679,2.9695024077046552,42.53611556982344,54.49438202247191,1246
20-05-2020,8:00 AM,544,40,1397,1397.0,0.0,813,2.863278453829635,38.94058697208303,58.19613457408733,1397
21-05-2020,8:00 AM,556,41,1462,1462.0,0.0,865,2.80437756497948,38.03009575923393,59.165526675786595,1462
22-05-2020,8:00 AM,571,41,1605,1605.0,0.0,993,2.554517133956386,35.57632398753894,61.86915887850467,1605
23-05-2020,8:00 AM,597,41,1743,1743.0,0.0,1105,2.352266207687894,34.251290877796905,63.396442914515205,1743
24-05-2020,8:00 AM,608,42,1959,1959.0,0.0,1309,2.1439509954058193,31.03624298111281,66.81980602348136,1959
25-05-2020,8:00 AM,654,42,2089,2089.0,0.0,1393,2.010531354715175,31.306845380564862,66.68262326471996,2089
26-05-2020,8:00 AM,705,44,2182,2182.0,0.0,1433,2.016498625114574,32.30980751604033,65.6736938588451,2182
27-05-2020,8:00 AM,748,44,2283,2283.0,0.0,1491,1.9272886552781427,32.763907139728424,65.30880420499344,2283
28-05-2020,8:00 AM,781,47,2418,2418.0,0.0,1590,1.943755169561621,32.29942100909843,65.75682382133995,2418
29-05-2020,8:00 AM,834,47,2533,2533.0,0.0,1652,1.8555073035925778,32.9253849190683,65.21910777733912,2533
30-05-2020,8:00 AM,894,48,2781,2781.0,0.0,1839,1.7259978425026967,32.14670981661273,66.12729234088457,2781
31-05-2020,8:00 AM,997,48,2922,2922.0,0.0,1877,1.642710472279261,34.120465434633815,64.23682409308694,2922
01-06-2020,8:00 AM,1218,51,3221,3221.0,0.0,1952,1.5833592052157717,37.81434337162372,60.602297423160515,3221
02-06-2020,8:00 AM,1328,52,3408,3408.0,0.0,2028,1.5258215962441315,38.967136150234744,59.50704225352113,3408
03-06-2020,8:00 AM,1403,52,3796,3796.0,0.0,2341,1.36986301369863,36.95995785036881,61.67017913593256,3796
04-06-2020,8:00 AM,1514,53,4063,4063.0,0.0,2496,1.3044548363278365,37.263106079251784,61.43243908442037,4063
05-06-2020,8:00 AM,1610,57,4320,4320.0,0.0,2653,1.3194444444444444,37.26851851851852,61.41203703703704,4320
06-06-2020,8:00 AM,1688,57,4835,4835.0,0.0,3090,1.1789038262668046,34.91209927611168,63.908996897621506,4835
07-06-2020,8:00 AM,1968,59,5213,5213.0,0.0,3186,1.1317859198158449,37.751774410128526,61.116439670055634,5213
08-06-2020,8:00 AM,2132,61,5452,5452.0,0.0,3259,1.1188554658840792,39.10491562729273,59.77622890682318,5452
09-06-2020,8:00 AM,2519,64,5760,5760.0,0.0,3177,1.1111111111111112,43.732638888888886,55.15624999999999,5760
10-06-2020,8:00 AM,2604,66,5921,5921.0,0.0,3251,1.114676574902888,43.97905759162304,54.90626583347408,5921
11-06-2020,8:00 AM,2862,69,6041,6041.0,0.0,3110,1.1421950008276776,47.376262208243666,51.48154279092866,6041
12-06-2020,8:00 AM,2977,72,6245,6245.0,0.0,3196,1.1529223378702964,47.670136108887114,51.17694155324259,6245
13-06-2020,8:00 AM,3440,79,6516,6516.0,0.0,2997,1.212400245549417,52.79312461632904,45.99447513812155,6516
14-06-2020,8:00 AM,3648,81,6824,6824.0,0.0,3095,1.1869871043376319,53.458382180539274,45.35463071512309,6824
15-06-2020,8:00 AM,3955,86,7000,7000.0,0.0,2959,1.2285714285714284,56.49999999999999,42.27142857142857,7000
16-06-2020,8:00 AM,4135,89,7213,7213.0,0.0,2989,1.2338832663246915,57.32704838486067,41.43906834881464,7213
17-06-2020,8:00 AM,4456,94,7530,7530.0,0.0,2980,1.248339973439575,59.17662682602922,39.57503320053121,7530
18-06-2020,8:00 AM,4804,102,7734,7734.0,0.0,2828,1.3188518231186968,62.11533488492371,36.56581329195759,7734
19-06-2020,8:00 AM,4983,114,7944,7944.0,0.0,2847,1.4350453172205437,62.726586102719025,35.838368580060425,7944
20-06-2020,8:00 AM,5210,124,8281,8281.0,0.0,2947,1.497403695205893,62.915106871150826,35.587489433643285,8281
21-06-2020,8:00 AM,5391,132,8697,8697.0,0.0,3174,1.517764746464298,61.98689203173509,36.49534322180062,8697
22-06-2020,8:00 AM,5618,137,9150,9150.0,0.0,3395,1.4972677595628414,61.39890710382514,37.10382513661202,9150
23-06-2020,8:00 AM,5730,142,9399,9399.0,0.0,3527,1.5107990211724651,60.96393233322694,37.5252686456006,9399
24-06-2020,8:00 AM,6004,150,9721,9721.0,0.0,3567,1.5430511264273221,61.76319308713095,36.69375578644172,9721
25-06-2020,8:00 AM,6151,164,10118,10118.0,0.0,3803,1.6208736904526586,60.792646768135995,37.58647954141134,10118
26-06-2020,8:00 AM,6670,170,10560,10560.0,0.0,3720,1.6098484848484849,63.16287878787878,35.22727272727273,10560
27-06-2020,8:00 AM,6916,180,11005,11005.0,0.0,3909,1.635620172648796,62.84416174466152,35.52021808268969,11005
28-06-2020,8:00 AM,7287,191,11923,11923.0,0.0,4445,1.6019458190052838,61.11716849786127,37.28088568313344,11923
29-06-2020,8:00 AM,7507,207,13190,13190.0,0.0,5476,1.5693707354056101,56.91432903714936,41.516300227445036,13190
30-06-2020,8:00 AM,7683,226,14295,14295.0,0.0,6386,1.5809723679608256,53.746065057712485,44.67296257432668,14295
01-07-2020,8:00 AM,7918,246,15242,15242.0,0.0,7078,1.6139614223855137,51.94856318068495,46.43747539692954,15242
02-07-2020,8:00 AM,8063,253,16514,16514.0,0.0,8198,1.532033426183844,48.825239190989464,49.64272738282669,16514
03-07-2020,8:00 AM,8334,272,18016,18016.0,0.0,9410,1.5097690941385435,46.2588809946714,52.23134991119005,18016
04-07-2020,8:00 AM,8805,293,19710,19710.0,0.0,10612,1.4865550481988838,44.67275494672755,53.84069000507357,19710
05-07-2020,8:00 AM,9244,335,21549,21549.0,0.0,11970,1.554596500997726,42.89758225439695,55.54782124460532,21549
06-07-2020,8:00 AM,9847,372,23474,23474.0,0.0,13255,1.584732043963534,41.948538808894945,56.466729147141514,23474
07-07-2020,8:00 AM,10527,401,25317,25317.0,0.0,14389,1.5839159458071652,41.580756013745706,56.83532804044713,25317
08-07-2020,8:00 AM,11098,416,26815,26815.0,0.0,15301,1.551370501584934,41.38728323699422,57.061346261420844,26815
09-07-2020,8:00 AM,11876,470,28877,28877.0,0.0,16531,1.6275928939986841,41.12615576410292,57.2462513418984,28877
10-07-2020,8:00 AM,12833,486,31105,31105.0,0.0,17786,1.562449766918502,41.25703263140974,57.18051760167175,31105
11-07-2020,8:00 AM,13836,543,33418,33418.0,0.0,19039,1.624872823029505,41.40283679454186,56.97229038242864,33418
12-07-2020,8:00 AM,14716,613,36216,36216.0,0.0,20887,1.6926220455047492,40.633973934172744,57.67340402032251,36216
13-07-2020,8:00 AM,15409,684,38843,38843.0,0.0,22750,1.7609350462116726,39.669953402157404,58.569111551630925,38843
14-07-2020,8:00 AM,16248,757,41581,41581.0,0.0,24576,1.820543036483009,39.07553930881893,59.10391765469806,41581
15-07-2020,8:00 AM,17390,842,44077,44077.0,0.0,25845,1.9102933502733854,39.453683326905185,58.63602332282143,44077
16-07-2020,8:00 AM,18466,928,47253,47253.0,0.0,27859,1.9638964721816605,39.07900027511481,58.95710325270353,47253
17-07-2020,8:00 AM,19729,1032,51422,51422.0,0.0,30661,2.00692310684143,38.366846874878455,59.62623001828011,51422
18-07-2020,8:00 AM,20757,1147,55115,55115.0,0.0,33211,2.0811031479633493,37.66125374217545,60.257643109861206,55115
19-07-2020,8:00 AM,21775,1240,59652,59652.0,0.0,36637,2.078723261583853,36.50338630724871,61.417890431167436,59652
20-07-2020,8:00 AM,23065,1331,63772,63772.0,0.0,39376,2.0871228752430535,36.167910681803924,61.74496644295302,63772
21-07-2020,8:00 AM,23795,1403,67420,67420.0,0.0,42222,2.0809848709581726,35.29368140017799,62.62533372886384,67420
22-07-2020,8:00 AM,25459,1464,71069,71069.0,0.0,44146,2.0599698884182978,35.822932642924485,62.11709746865722,71069
23-07-2020,8:00 AM,27239,1519,75833,75833.0,0.0,47075,2.0030857278493532,35.91971832843222,62.077195943718436,75833
24-07-2020,8:00 AM,29310,1616,80863,80863.0,0.0,49937,1.9984418089855682,36.24649097856869,61.755067212445745,80863
25-07-2020,8:00 AM,31347,1724,85870,85870.0,0.0,52799,2.007686037032724,36.50518225224177,61.48713171072552,85870
26-07-2020,8:00 AM,33750,1796,90942,90942.0,0.0,55396,1.9748850915968421,37.111565613248004,60.91354929515516,90942
27-07-2020,8:00 AM,35838,1878,96141,96141.0,0.0,58425,1.9533809716978188,37.27650014041876,60.77011888788342,96141
28-07-2020,8:00 AM,37685,1953,101465,101465.0,0.0,61827,1.9248016557433598,37.14088601980979,60.93431232444685,101465
29-07-2020,8:00 AM,40504,2055,107001,107001.0,0.0,64442,1.920542798665433,37.85385183316044,60.22560536817413,107001
30-07-2020,8:00 AM,42901,2147,112504,112504.0,0.0,67456,1.9083765910545403,38.13286638697291,59.95875702197255,112504
31-07-2020,8:00 AM,46694,2230,118632,118632.0,0.0,69708,1.8797626272843753,39.360374940994,58.75986243172162,118632
01-08-2020,8:00 AM,49788,2314,124115,124115.0,0.0,72013,1.864399951657737,40.11441002296257,58.02119002537969,124115
02-08-2020,8:00 AM,53648,2412,129287,129287.0,0.0,73227,1.8656168060207134,41.49527794751213,56.63910524646716,129287
03-08-2020,8:00 AM,57725,2496,134819,134819.0,0.0,74598,1.8513710975455981,42.81666530681878,55.33196359563563,134819
04-08-2020,8:00 AM,62500,2594,139571,139571.0,0.0,74477,1.8585522780520307,44.78007609030529,53.361371631642676,139571
05-08-2020,8:00 AM,69272,2704,145830,145830.0,0.0,73854,1.854213810601385,47.50188575738874,50.64390043200987,145830
06-08-2020,8:00 AM,74679,2804,151449,151449.0,0.0,73966,1.8514483423462684,49.30966860131134,48.8388830563424,151449
07-08-2020,8:00 AM,80281,2897,158254,158254.0,0.0,75076,1.8306014381942952,50.729207476588265,47.440191085217435,158254
08-08-2020,8:00 AM,84232,2998,164924,164924.0,0.0,77694,1.8178069898862508,51.07322160510296,47.10897140501079,164924
09-08-2020,8:00 AM,89238,3091,172102,172102.0,0.0,79773,1.7960279369211283,51.851808811053914,46.352163252024965,172102
10-08-2020,8:00 AM,93908,3198,178087,178087.0,0.0,80981,1.7957515147091028,52.73153009484128,45.472718390449614,178087
11-08-2020,8:00 AM,99126,3312,182354,182354.0,0.0,79916,1.8162475185627955,54.359103721333234,43.824648760103976,182354
12-08-2020,8:00 AM,105599,3398,188611,188611.0,0.0,79614,1.8015916356946309,55.98772075859838,42.21068760570699,188611
13-08-2020,8:00 AM,112633,3510,196494,196494.0,0.0,80351,1.7863140859262878,57.321343145337764,40.892342768735936,196494
14-08-2020,8:00 AM,121242,3613,203200,203200.0,0.0,78345,1.7780511811023623,59.66633858267717,38.555610236220474,203200
15-08-2020,8:00 AM,128182,3717,211108,211108.0,0.0,79209,1.760710157833905,60.718684275347215,37.52060556681888,211108
16-08-2020,8:00 AM,134811,3831,219926,219926.0,0.0,81284,1.7419495648536325,61.29834580722606,36.959704627920296,219926
17-08-2020,8:00 AM,141491,3947,226966,226966.0,0.0,81528,1.73902699082682,62.34017429923424,35.920798709938936,226966
18-08-2020,8:00 AM,148562,4062,233283,233283.0,0.0,80659,1.7412327516364245,63.683165940081366,34.57560130828222,233283
19-08-2020,8:00 AM,156949,4201,240948,240948.0,0.0,79798,1.7435297242558558,65.13812108836761,33.11834918737653,240948
20-08-2020,8:00 AM,164150,4327,249590,249590.0,0.0,81113,1.733643174806683,65.76785928923434,32.49849753595897,249590
21-08-2020,8:00 AM,170381,4429,256975,256975.0,0.0,82165,1.7235139605019945,66.30255861465123,31.973927424846778,256975
